id,sentence1,label
1419,A person died ( not really a friend ) .,sadness
2976,"The behaviour of a colleague of mine , which doesn ' t correspond to my norms of behaviour .",disgust
526,[ No response . ],sadness
2774,When I do something unworthy .,shame
4089,When I failed an exam I thought I could pass easily .,guilt
5426,Meeting other friends who got in the good universities .,shame
6867,Saw my brother - in - law insulting my sister .,disgust
7352,[ No response . ],joy
4463,"At my grandfather ' s funeral . I remembered that the thing he liked and respected most was earth , I thought that he had attained what he wanted and was not separated from it any longer .",sadness
427,On the way home from Marstrand I was driving behind my father ' s car . Another car tried to push in front of my father and he was forced to swerve and he thus collided the car with a pillar . The other car drove off without even seeing what had happened .,anger
6284,"I was disgusted at myself when I dropped a vital catch , while playing a cricket match , and we lost the match ; though the catch was difficult .",disgust
5848,Promising to do a task for a friend and just forgetting about it .,guilt
3709,"I was together with my family one night , a few days after my father had died , during that conversation I expressed my displeasure because nobody understands me .",sadness
6379,In March I was busy studying during the night I could only sleep two or three hours only for fear that I would be weeded and sent back .,fear
306,When I was at a party I met an old friend from an adult education course . We had not met for 2 years but had both thought a lot about each other . A wonderful experience .,joy
833,"Being a spokesman for the union , I got into a quarrel with a colleague who had been acting disloyally over a sustained period of time .",anger
6759,When I heard that my father had found a letter from my boyfriend and he was calling me to talk about it .,fear
7243,Finding out my name on the list for English lectures .,joy
5652,When I did poorly on a test and I knew that there wasn ' t an excuse for not doing better . Made mistakes I could not believe I made .,shame
515,[ No response . ],guilt
4058,My friend and I planned to search for old documents and utensils in the cellar . It was very late at night when we arrived in the cellar . He indicated the place where the police ( 40 years ago ) found two dead bodies . I got very scared when he told me this story .,fear
468,When my husband and I spent a night by ourselves in a house which was in an area on the outskirts of a large town with which we were not familiar . We heard strange noises outside the house and the house had glass walls so the whole thing was even more frightening .,fear
4108,I had to change a baby ' s clothes for the first time .,disgust
6984,Losing my temper to my sister .,guilt
6261,Winning a game after a long time of losing .,joy
1184,"On a trip abroad , a lady - like member of our group turned out to be an alcoholic . She spoilt many days of my holidays because of her behaviour and paranoia .",disgust
3324,I was late meeting someone for an appointment .,guilt
7491,"After a busy day I went back to my hostel . I closed the door and had a drink , then I read my favourite book on the bed . Suddenly I felt peace and joy .",joy
3704,"I stayed at home for a period because I felt depressive and I neglected my study when people adked me , I told them that I had freeterm and studied hard . I felt ashamed for my behavior and lies .",shame
4358,"When the train taking me to my military service left the station , on the platform remained relatives , projects and goodtimes . I had a hard year ahead .",sadness
2533,"One day I was near home , kissing my boyfriend in a car when my mother appeared and asked me to go home , because she didn ' t know about the event .",fear
5876,[ I felt guilt when I was not co - operative with my mother for my exam . ],guilt
6976,Failing in an examn .,shame
4961,"I feel disgusted at not having got aa "" A "" in yesterday ' s practicals of G220 .",disgust
3098,I feel angry at people ' s indifference at our ability to be present at an event and to stay partial to what happens .,anger
3195,A truck ( big one ) nearly mowed me off the road ( I was driving a small Lazer ) .,fear
390,"When I recently managed to get my first consulting assignment "" myself "" i . e on my own initiative .",joy
957,While dancing in a restaurant last week .,joy
4802,I accused my husband of being late deliberately when he came to pick me up from work .,guilt
6591,"After buying a ticket , I lost it before I reached my destination and the bus Inspector dropped me at a place I didn ' t know .",disgust
1561,When my grandmother died .,sadness
5016,"Last academic year I received bad news - my grand - uncle had passed away . I felt lonely and bad because apart from the biological ties , he was a good old friend of mine at home .",sadness
1442,"When I had to go to the gynecologist and to sit on that special chair , I felt ashamed .",shame
6411,This situation happened when I was found kissing a girl who was my friend ' s girlfriend .,shame
4214,When inadvertantly I found myself in the ladies room .,shame
6950,Not winning a medal in the swimming contest .,sadness
2497,I felt joy when I entered at the University .,joy
4028,I made an appointment to pick up someone . However I arrived too late and she had to wait a quarter of an hour .,guilt
793,"Some people were unfairly treated , because of their nationality / colour .",disgust
3074,I had undertaken to help my sister for her class work but some unexpected circumstances prevented me from doing that .,guilt
4974,When my cousin passed away during the holidays at home . He fell ill at night and the next day he died in the evening .,sadness
661,I had intercourse with someone and then I realized that what I had done was wrong and it disgusted me .,disgust
3094,Some time ago I promised to meet an acquaintance of mine and to carry him some promised papers . I haven ' t done it until this day . Now I feel quite awkward when I meet him .,shame
2362,"When my grandmother , my second mother died .",sadness
4975,"An officer at the Dean of students office had promised me to give me a room the next day , but he failed to keep his promise .",disgust
2946,"I feel disgust with some people when I see what they are capable of , including lack of any dignity , when trying to find a seat in the tram .",disgust
3330,"My first real experience with a boy . We were alone . I was quite young and pretty naive and he was pretty crude and real , sort of , macho . It was dark , at night during the summer and we were talking .",shame
2035,Guilt after fighting with my sister ( for ) telling her how bad she was .,guilt
2970,I feel this feeling at one and the same degree when I am not prepared to overcome certain obstacle in my life .,shame
4102,Once I did not have enough money to pay for a coffee .,shame
605,"I was rock - climbing and absailing & felt OK , but suddenly as I was going over the cliff I was hit by fear - I couldn ' t go on absailing down the cliff and had to be actually hauled back up it .",fear
7296,When I attended the concert of a pop singer .,joy
7109,Not finishing homework in time .,guilt
4416,At a friend ' s party there were several allusions to my sexual adventures .,shame
1439,A friend called me and told me that she wanted to come and see me . She lived in a village at 50 km distance fom my home town . Next morning I expected her but she didn ' t arrive . As I got impatient I called her but her parents told me that she had gone skiing . I was very angry because I had cancelled an appointment to be able to see her .,anger
64,"A bus drove over my right leg . The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell , I was frightened .",fear
530,[ No response . ],guilt
6677,Before going to school I usually take something to eat right at school and this time I took Father ' s money without him knowing it . I felt guilty and I returned the money .,guilt
903,"Having gone to school without learning anything , as usual .",anger
4376,"When a study tour got confirmed , I was happy all the time till the tour began .",joy
3978,When I went for the first time in my life to a nudist - beach .,shame
6455,The joy came when I first proposed a girl at Secondary School .,joy
1781,"When I played in a chess championship , I was disturbed by other people . I asked them to be quiet , but in vain .",anger
2662,"When my nephew was born . The birth was hard , it was a big baby .",joy
24,"When I recently thought about the hard work it takes to study , and how one wants to try something else . When I read a theoretical book in English that I did not understand .",sadness
1978,"Following heavy stirring / ridiculing a close friend who was very vulnerable to such attack - inspiring fierce , defensive counter - attack .",shame
1188,When climbing up the stairs to the top of a ski - jumping hill .,fear
5325,"While drinking a soft drink , I had the impression of swallowing a piece of glass so I went to the district hospital and got admitted there .",fear
3331,I was using my sister ' s stereo while everyone was out . I know she wouldn ' t want me to and I would get into trouble if she found out . But she was only partly justified in forbidding me to use it . She never found out .,guilt
7573,One day I was the leader of the weekly meeting of the Church fellowship . That day I had been preparing for the exams and did not estimate the time to travel to the church right and I was twenty minutes late . As I had not prepared well I led the meeting badly . I was ashamed of myself .,shame
4014,When I cancelled an appointment with an idle story . Afterwards it appeared that the person had looked forward to it and reserved time for it .,guilt
6196,"The way this particular girl spoke , behaved , and reacted the first time I was introduced to her , I felt certain that something between us would materialize .",joy
1864,I played chess with my 12 - year - old brother . I made a stupid mistake - and he won !,anger
4514,When I met a friend of mine after several months .,shame
6911,Not being a good host for a friend from a far away place .,guilt
5982,"A girl whom I trusted and with whom I had shared personal , confidential matters twisted the facts and told it to a common friend of ours . When this common friend told me the version my friend had told her , I was angry .",anger
2546,"I felt glad to live again when I went to a meeting about the "" Knowledge "" . There are 4 techniques of meditation that connect you with the essence of the human being .",joy
3647,"When working in a chemical laundry , I saw rats and maggots in the washing .",disgust
3001,When I have to go in for an exam and the examinor is a person with a whimsical character and unsteady requirements .,fear
3921,When I don ' t go to my parents on Sunday and phone them to tell them that I have to study . The truth is that I listened to sports on the radio .,guilt
4551,"The final marks were to be given in the morning . I wanted to get there late because I was very afraid . When I arrived there , everybody was very happy and I had also passed . We had a wonderful time all day long .",joy
5610,My boat didn ' t win a race which we were favored to win .,shame
1201,"During lectures , I sensed an unexpressed understanding with a boy I did not know . We exchange glances ; I think he likes me , and I like him too . Perhaps he has fallen in love with me . . . . . . . . .",joy
7158,Promised to do something for other people and did not do it .,guilt
6070,[ No response . ],guilt
6478,It was when I failed standard 8 exams while all my friends passed and went to secondary school . In class I was always getting more marks than they did .,sadness
6060,When my honest intentions were marred by another ' s jealousy .,sadness
5566,My friend who was in the Bago was kicked out of the sorority .,sadness
6701,A tailor ran away with my skirt .,anger
1338,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees ( in my opinion this is the state ' s affair ) . This is when only a fractoin of the students can find an appartment .,anger
2469,When I got a record as a gift from a friend .,joy
5854,I felt this when I was copying homework for one of my classes .,shame
887,Reunion with my wife after a legal separation .,joy
711,"Hit a dog with my car , and didn ' t stop .",shame
994,When I learned that my brother had spoilt an LP of mine .,anger
567,"A person with whom I had been on bad terms , gave me a present . We became reconciled .",joy
5834,I ' ve had three midterms in the past two weeks and I hardly studied for any of them ( like 1 or 2 days ) I feel guilty that I hadn ' t studied and I got C ' s on all of them .,guilt
7329,"When the teacher asked me a question , I did not know the answer and I just stood still for about a few minutes without saying a word .",shame
4836,When I wet my bed at boarding school .,shame
6756,I was very ashamed when I failed a test in Standard 7 . The teacher told the other students to shout and laugh at me .,shame
3483,Friends calling me fat - pear shaped in front of a nice girl .,disgust
3822,I tried to swindle a jeweller because my watch was broken and I wanted to have it repaired it was a pity but they detected it .,shame
4661,When I failed to answer a simple question .,shame
6452,I felt disgust when I saw a friend walking in stagnant water without putting on gum boots .,disgust
3585,I had an appointment with someone at a certain time . The other person didn ' t appear .,anger
4481,"I was on holidays , and I was going to meet a friend whom I had not seen for six months . Again I felt very happy .",joy
2528,My brother wanted me to buy a flute with him but I didn ' t accept afterwards I regretted it because he became sad .,sadness
2517,Facing the possibility of having a child when it wasn ' t either desired or permitted .,guilt
2830,"When , for example , I was in my eleventh school year and I learned I had been classed for the Bulgarian Language and Literature National Olympiad .",joy
3561,I moved to Nijmegen for my study . Soon after this my mother had to be admitted in hospital because of cardiac compliants . I knew that my moving was an important reason for this .,guilt
2540,When I had to talk with an important person about a job .,fear
4846,After having taken an exam i feared having failed it .,fear
6167,My teacher asked me a question which I failed to answer and I was told to stay behind after the class and give the answer after studying it from a book .,shame
4592,When I did not give back a text book to a friend in time .,guilt
5969,"Two years ago my best friend died in an accident , just a day before my birthray . We were very close to each other and I felt very sad at loosing a close friend .",sadness
6100,When I was in my village one of my enemies had written a non - sense letter to a girl and he told the father of this girl that I was the culprit . When I got to know this I was scared as the girl ' s father was a worse man .,fear
6989,Some boys not cueing in the dining hall .,disgust
6891,My friend told me he really likes me .,joy
4626,"When I was found urinating , behind a toilet instead of inside it , by my class mates and the teachers . I was told to pick up my own urine from the wet soil , I did it .",shame
6154,"At my native place I was riding my cycle , which did not have lights , at night and so a police man caught me . I requested him to let me go but he would not so after a few minutes I just escaped .",guilt
5164,Every time I was around this one person I would stick my foot in my mouth by being nasty . One time I accidently said something fairly cruel that was totally inappropriate .,shame
6904,Did not get up early enough to watch my class football team playing against another team .,guilt
835,"Reading about executions and massacres which happened during World War II , I felt disgust towards those who did it .",disgust
1252,"Disagreements with mother . When I moved from KankaanpSS , she had promised to help me move but broke her promise because of some hindrance .",anger
6898,I met a friend I had not seen for a long time on the street .,joy
2307,I felt disgust of dirty .,disgust
5552,When I found out that I could not go to the concert ( after buying the tickets ) because of a biology test which occurred the morning after .,sadness
4374,When I stated sharply something I was not very sure of and a few days later I was shown to be wrong .,shame
7501,There was a conflict of interest between me and a close friend of mine . He only thought about his own interest and not about our friendship . This behaviour hurt his friends . Another incident is when a friend isolated himself without giving any reasons .,sadness
3254,When approached by a gang of youths in town at night .,fear
7332,Tutorial again ! A fearful feeling came to me when I sat on the chair and looked at my fellow students all around . I was really scared that they would ask me some questions or challenge the ideas that I had presented .,fear
2817,I had to leave an important function early because of family commitments . Someone else had to complete my job .,guilt
5781,My boyfriend breaking up with me about 7 months after I had an abortion . Just the fact that he was ignoring me and continued to do so .,anger
5333,When a few girls were talking rubbish about me .,anger
3670,"I spend the night with my boyfriend , while there was also a friend of his . We all lay on the floor to sleep . When my boyfriend was fallen asleep the other boy and I started petting . After 15 minutes I felt miserable and awoke my boyfriend to tell him that .",guilt
1178,"I feared that I would have to describe my sexual life to an older , strange woman .",shame
3757,"Recently , I left my bag in the car of someone who picked me up while hitch - hiking . I spent some effort to find out where he lived ( I succeeded ) .",shame
1312,"While travelling in a bus , there were three people sitting behind me ( two men and a woman ) . They were drunk and the conversation was unbelievable ( about fucking , fellatio , etc . . . ) . They tried to get others to take part in the conversation . I loathed it and felt like crying .",disgust
642,When my nephew asked me to tell him a story and I simply did not have the energy or the will . When I saw his disappointment I was terribly guilty and read a story to him after all .,guilt
487,I get irritated with my son when he screams or is sick all over his clean clothes .,guilt
6217,"When I was young I was playing football near my parent ' s house and while playing I fell on the ground . At first I thought I was not seen by anybody , but when my mother laughed I felt very ashamed .",shame
1562,When I shoplifted a pair of earrings from Coles and my Mum caught me with them in my bag .,guilt
6405,It was when I discovered that the girl who I had proposed was a friend ' s girlfriend .,guilt
4943,When I got myself the kind of girlfriend I had been hunting for a long time .,joy
6254,When you told everyone in the last lecture you will do all lectures again in English and everybody can come ( not only English classes ),joy
3151,Something very unpleasant happened when I was a soldier and I was directly involved in it .,guilt
4441,[ No description . ],anger
3007,I was happy when I understood that the girl I liked was in love with me .,joy
723,"Being bored in school , not being able to marry and have children .",sadness
6077,"I was coming back home with my mother when the purse I was carrying got stolen . It was done so swifty that I did not realize what had happened till much later . A lot of money and the keys of the house were lost . I was guilt ridden at my carelessness . I felt terrible as I do not normally loose things and this was quite important , especially the keys .",guilt
5509,"I caught a "" peeping tom "" at my window when I was getting undressed .",anger
5459,China can not even give you good sound systems for an open lecture .,sadness
3800,Before one of my final exams of the third year - natural sciences .,fear
3109,I remember about an unpleasant event in relation to my mother . I felt guilty before her .,guilt
1477,"It was in a group situation : suddenly it was my turn to say something , but I felt that I was not able to express myself very well - I felt ashamed and blushed .",shame
7265,Talking to someone I disliked .,disgust
3623,"Together with a little brother I biked on a lonely road in the Polder . Then we were annoyed by a boy on a motorbike : he took over , stopped , took over , etc . Then we saw he had something in his hand , we turned until we came across a man , who accompanied us .",fear
1894,"A friend once reacted childishly ( he is 23 yearrs old ) to my not responding in his favour to a request , that is : he asked me for some money I refused , and his reaction was quite childish .",disgust
6819,I fell off a bike in the presence of a lot of people .,shame
852,Winning the local soccer championships this year was a great joy .,joy
1398,"My favourite horse died . We had tried our best to save him , but it was hopeless , he had to be shot .",sadness
3903,I was in the library of medical psychology and walked into the wrong direction . A man who came out of a room threated me very denigrating and I became very angry in a resisting manner .,anger
1601,"When I was dismissed unjustly from the firm where I worked , because there where persons that didn ' t have problems , and wouldn ' t miss in the jobs they occupied if they were dismissed .",anger
5777,I had a test in the class and I had not adequately prepared myself . I didn ' t fare so well on the exam and I felt bad about it .,shame
1841,I spread abroad an intimate secret .,guilt
3106,When I part with my friends I feel always sad for some time . I can ' t remember a concrete example now . For example I have just parted with a friend of mine and I am feeling sad .,sadness
1167,"[ Meeting some new ( unpleasant ) people or some new , demanding situation . ]",fear
1878,"Boyfriend "" chatting up "" another girl .",anger
3892,I am troubled by hair growing in my neck . I was troubled by this for a long time and was much ashamed when someone brought his / her hands close to my face .,shame
7463,When I finished the work that I had planned to do - my homework .,joy
3842,A student who lives in the same house where I live is an alcoholic . He tries to manipulate other people with his money when he has drunk too much .,disgust
6931,Arguing about price with private shop - assistant .,shame
2334,When I couldn ' t go for a trip with my friends in a holiday .,sadness
1378,I had a quarrel with my parents ; I was convinced to be right .,anger
2808,Disgust at myself when I stroked a sleeping girl ' s private parts .,disgust
2600,"I was talking with an aunt of mine that I adore and I found courage to say "" I love you "" and just after that came the shame .",shame
6561,One day I was really angry when all my food was eaten by a dog . My anger was against my mother because she was careless . She didn ' t keep the food in a hidden and proper place .,anger
761,Got in touch with earlier friends after a long absence .,joy
2441,My mother in law slept in my bed .,anger
2174,"A dirty person , smelling bad and unknown laying on me .",disgust
436,"I had some sort of a stomach virus last week and I vomited in college in the morning , then in the cake shop , three times during the trip home and again when I got home .",disgust
5648,When I had to walk home in the dark for the first time .,fear
595,During a movie in which I saw the effect of white settlers in Africa .,disgust
5522,I was driving and stopped at a stop light . I was planning to make a right turn as soon as it was clear . It was clear on the left so I started but a man was just in front of the car .,fear
6939,I am not doing what I should with this questionnaire .,guilt
5863,I realized the girl liked to be with me .,joy
5099,When I discovered that my girlfriend was going around with another boy .,anger
6243,A friend ' s mother died .,sadness
5864,That I would do bad in a class and not get into Bus school .,fear
3589,"When I had to eat scraps from a dust - bin , because of a bet .",disgust
2366,"When I met a girl and asked her for a date and she agreed , ( I thought this girl would never like me ) , this was an emotion of joy .",joy
6214,Somebody wanted to beat my brother at a wedding ceremony and I was trying to protect my brother but the other man was calling names to both of us .,anger
1353,"When my car froze , and I could not start it .",sadness
7622,"When I asked my classmate to teach me to do my homework , he asked me to study by myself first but I did not do it . When he asked me if I had studied , I felt very ashamed .",shame
322,The sports fishermen who catch gulls instead of fish with their hooks . It is often a mistake but it makes me angry .,anger
1204,"A relationship in which I had put my trust , broke up . I was sad when I realized how easy it is to forget something that one had once regarded as great and significant .",sadness
1845,"During my holiday I met again a friend who had tried to commit suicide . She had just left hospital , her lips were trembling , she looked miserable .",sadness
5720,I felt sadness when my grandfather died .,sadness
1236,I had just moved to the town where I study and I got a postcard from a good friend ( from my home town ) .,joy
5970,We had gone to our native village and I went to visit a tribal group which believes in Goddess Kali . As it was a festival day they had to offer a hen to the Goddess so they cut the head off a hen right in front of my eyes . I felt disgusted and evenb gave up eating meat after this incident .,disgust
2472,A dear friend was removed from the division whre I work .,sadness
5776,"I was disgusted at the behavior of these boys I work with in the scouting program . They showed a lack of interest , unrest , and at times just plain rude behavior .",disgust
7044,Someone being arrogant to me .,disgust
1463,"A friend of mine has not very much money . Therefore , once I stayed with him and his girlfriend , I bought some meat , but nobody wanted to go and prepare it for dinner . My friend said "" I thought you wanted to invite us for dinner "" . "" Of course "" , I said , but I thought by myself that it must have been enough that I had bought it .",shame
2191,When I come home late at night .,fear
3923,The same situation as with sadness . I was afraid about what my parents would further do to distroy my relationship .,fear
6783,I was disgusted when my little sister had been hit badly by her friends .,disgust
6273,Talking to friends about how old you are and we cannot be as successful as you at your age .,shame
4431,"In a situation with my girlfriend I took a decision . Later when I thought about it , I realized that it was an erroneous decision .",guilt
3130,"I felt guilty when I had taken the car keys and I had an accident but as my parents did not know who was to blame , they punished my brother because I had no driving licence and they thought it impossible that had driven the car .",guilt
1604,I felt ashamed when in a certain occasion I had to read a text and didn ' t stop stuttering .,shame
3648,When I forgot the birthday of my best friend and I innocently came to visit her one week later .,shame
1665,"At a party I met a girl who drew me to her , told me some nonsense and always wanted to kiss me .",disgust
7385,"When I was fighting with my elder brother I unintentionally hurt him in the eye with a wooden bar . I felt guilty and feared that he would be blind , fortunately he recovered after 15 days .",guilt
1189,My boy - friend came home late one night without having told me about it before .,anger
5623,Sitting in the dorm when the guys were verbally reading letters in Penthouse .,disgust
476,Exchange of points of view with my sister on a family matter .,anger
721,"A "" near - accident "" in a car , driving too fast on an icy road .",fear
3818,When a man rang the doorbell and wanted to enter the house with violence . I was alone at home that moment .,fear
7356,"One day when I was sitting in a not very crowded bus , a middle aged woman was standing beside me . The person sitting next to me got up to get off and this woman pushed me and occupied the seat . Then she took off her shoes and put her feet on the seat .",disgust
6319,I was disgusted when our cricket team manager dropped me from the team .,disgust
2570,One day I heard from a friend that the boy I loved had gone out with her and not with me .,sadness
6529,One day I went for a bath . I took off my clothes and as soon as I had finished my brother came in . I felt sad and I found no reason why he came in .,shame
3044,When my husband stays late at a meeting and I have to be alone .,anger
1198,"When I heard about the advances an acquaintance of mine had made to my friends , who did not approve of them .",disgust
6831,Failing examn .,sadness
303,"In a warm bus full of people , someone vomited and the whole bus stank .",disgust
1107,"When an acquaintance ( he was drunk ) of my room - mate vomitted on the kitchen carpet . It was past mid - night and my room - mate had just moved in , this acquaintance had helped her move in .",disgust
858,When I and the boy next door set fire to a house by accident .,guilt
1346,"When I heard about the death of Frantois Truffaut , the French motion picture director , on the radio . I had planned to go and see his last film .",sadness
1228,"While travelling in a bus with an invalid ticket , I got caught .",guilt
3809,I have cut loose from my father a few years ago . I know he is very sad about this .,guilt
1939,A workmate and I had been antagonistic with each other for some weeks - he had reacted violently to my criticisms of his work standards .,fear
6838,My grandmother died .,sadness
7183,Deceived by other people and ran into trouble .,sadness
2361,"I ' m crazy about football . When my team lost a goal in the Paulist championship , and so it lost the classifications .",anger
913,"Having finally to admit I was wrong , after having denied it for a long time .",shame
6726,I was very sad when I heard that my uncle had passed away untimely at home .,sadness
5228,When my room - mate locked up the keys of my room in our room after I had told her that I was only in the bathroom having a shower . She left and I had to do without supper .,anger
2377,"When I left a carnaval ball at 4 o ' clock a . m . I was alone in a foreign city and I had to go back home , when a guy appeared and tried to "" catch me "" .",fear
6640,"I was disgusted with my brother ' s behaviour when he kept throwing things away because of his anger , after mum had shouted at him .",disgust
1355,"When I was going downhill on skis , and fell down twice the first time .",shame
6303,When I got low marks in B . Sc final .,anger
4644,When I got a low grade in an administration course .,anger
6022,"At the pre - university , I was appreciated as an examplary student by our pricipal . This is something which made me feel very happy .",joy
1654,"On my birthday , an old friend of mine sent me a card . I had not met him for a year and I was very glad that he had thought of me .",joy
2683,"At a success of mine , at a real achievement .",joy
1505,I took the tram without paying . There were many people around me when I was caught by a controller . I felt ashamed but also angry .,shame
3264,With the N . Z . Rugby Union wanting to send the All Blacks to South Africa .,disgust
3927,A sudden end to the relationship with my first girlfriend .,sadness
6211,Guilt conscious struck me when I failed my Standard Two Examinations in 1972 . I knew that I would suffer the consequences of what I had been doing during class hours : thus playing with friends and sometimes not even going to school .,guilt
5828,After much trouble getting together in the first place my boyfriend and I celebrated our first anniversary .,joy
5832,"I took a psych . experiment with a totally unappealing gay man as the experimentor , some homosexuals are funny or cute , but this guy was disgusting . Plus the experiment was about gays too .",disgust
4985,At my sister ' s wedding .,joy
6338,"I was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile , non co - operative guests . I felt frustation - bordering on anger .",anger
1010,"At my grandmother ' s detestable and selfish conduct towards my elder sister , although her behavior was due to senility and lack of understanding .",disgust
2940,I didn ' t offer my seat to a pregnant woman in the bus .,shame
5336,When my sister became pregnant at UNZA last year .,shame
7163,Some students deliberately disobey me as a class leader .,disgust
6113,My joy knew no bounds when I was selected for a job even before having finished my studies .,joy
3203,When my husband got picked up in our new car for drunken driving . We had made a pact the other would not drink and so therefore would be the driver for the evening etc . I was not present at the time .,anger
598,"When I realised that I was forgiven by the God who is there , when I realised how much God loves me and that my acceptance with him is not based on my performance - that he loves me unconditionally and showed that love in Christ who died because I do need forgiveness .",joy
283,When I boxed my child ' s ears .,shame
2179,I got separated from the man I loved .,sadness
2356,"When some friends and I get acquainted a guy during vacations I thought he was disgusted and "" a friend "" of mine for whom I feel a little disgust wanted to stay with him .",disgust
5080,I came across a woman in town who was very drunk . She was swearing at everyone and carried on drinking even though she could hardly stand .,disgust
5003,I felt disgusted when a fellow student asked me to marry him . I had not expected this from him as he was a mere friend .,disgust
1772,My sister had a daughter . I saw the baby for the first time through a pane of glass and she looked at me .,joy
7549,My sister once stole my mother ' s money and made her very angry . After this my mother would beat her up for unreasonable reasons . One day my sister lent her book to a friend without telling my mother about it . When my mother learnt this she beat her up and even threatened her with a pair of scissors .,anger
2116,"I was seven years old and swimming outside the flags at the Gold Coast . I was caught in a rip and taken out about 100 m . I couldn ' t swim too well , but an older friend ( 17 ) swam out and saved me .",fear
2860,Unjust punishment of a friend of mine .,anger
4153,When I passed an exam which I had failed last year .,joy
1609,"When I wanted to kiss a friend and didn ' t succeed , I felt shame .",shame
7090,Left alone in the biology building surrounded by empty buildings .,fear
812,"When I tried to breake it up with my boyfriend , and he refused to let me go .",anger
4936,When I was selected for the university .,joy
6012,"When my friend got very low marks in field work even though he had worked throughout the year , I had this feeling .",disgust
1336,"In the army , my result at the shooting exercises got me a three day furlough .",joy
4326,When a professor caught me absent - minded and not paying attention to what he was saying .,shame
119,The day I was told that I had been accepted as a student of economics .,joy
4060,"When I went up the stairs in a high , dark house full of shadows , passed a door and had the feeling that someone or something was behind me , although I knew I was alone .",fear
879,Not keeping a promise of delivering materials of great importance to the receiver .,guilt
5583,I slammed my little brother into a wall because he was bothering me .,guilt
